x,y,z
0.090009,0.028003,0.000000
0.083808,0.052925,0.000025
0.080720,0.075862,0.000069
0.080234,0.097705,0.000128
0.081981,0.119194,0.000203
0.085703,0.140956,0.000296
0.091228,0.163543,0.000408
0.098460,0.187451,0.000547
0.107359,0.213145,0.000717
0.117937,0.241073,0.000926
0.130251,0.271684,0.001186
0.144394,0.305436,0.001508
0.160498,0.342810,0.001909
0.178730,0.384318,0.002408
0.199288,0.430515,0.003031
0.222411,0.482004,0.003808
0.248370,0.539451,0.004779
0.277478,0.603588,0.005991
0.310089,0.675230,0.007506
0.346603,0.755279,0.009400
0.387471,0.844743,0.011767
0.433198,0.944742,0.014726
0.484353,1.056526,0.018426
0.541570,1.181490,0.023052
0.605562,1.321190,0.028836
0.677125,1.477361,0.036068
0.757148,1.651938,0.045109
0.846627,1.847078,0.056414
0.946672,2.065186,0.070548
1.058524,2.308934,0.088217
1.183565,2.581298,0.110305
1.323338,2.885577,0.137915
1.479562,3.225431,0.172423
1.654149,3.604903,0.215547
1.849224,4.028450,0.269430
2.067147,4.500966,0.336740
2.310529,5.027796,0.420802
2.582255,5.614744,0.525749
2.885504,6.268052,0.656716
3.223759,6.994363,0.820069
3.600819,7.800635,1.023682
4.020801,8.693997,1.277270
4.488121,9.681525,1.592778
5.007461,10.769897,1.984823
5.583705,11.964898,2.471192
6.221824,13.270702,3.073378
6.926712,14.688886,3.817101
7.702929,16.217077,4.732769
8.554344,17.847164,5.855752
9.483626,19.562988,7.226306
10.491562,21.337457,8.888885
11.576152,23.129137,10.890481
12.731450,24.878470,13.277532
13.946152,26.504069,16.090855
15.201944,27.899896,19.358063
16.471739,28.934639,23.083174
17.718029,29.455179,27.233661
18.891744,29.296408,31.726308
19.932210,28.299479,36.414875
20.768937,26.339214,41.084524
21.325965,23.358305,45.459311
21.529199,19.401356,49.228447
21.316415,14.637027,52.092645
20.648476,9.354969,53.823597
19.519125,3.929240,54.319960
17.960137,-1.247478,53.638381
16.039375,-5.839691,51.983975
13.851469,-9.628174,49.661086
11.503504,-12.532271,47.003147
9.099927,-14.592976,44.308079
6.730637,-15.931070,41.798580
4.464466,-16.700491,39.611689
2.347970,-17.051886,37.809789
0.407985,-17.111698,36.401155
-1.343984,-16.974857,35.360645
-2.907071,-16.706182,34.645833
-4.286982,-16.345921,34.207605
-5.492876,-15.916343,33.996149
-6.535223,-15.427819,33.963850
-7.424482,-14.883790,34.066390
-8.170413,-14.284554,34.262997
-8.781827,-13.629995,34.516424
-9.266644,-12.921434,34.792949
-9.632123,-12.162742,35.062520
-9.885185,-11.360844,35.299050
-10.032751,-10.525711,35.480782
-10.082047,-9.669925,35.590646
-10.040835,-8.807934,35.616489
-9.917544,-7.955095,35.551106
-9.721300,-7.126660,35.392026
-9.461836,-6.336792,35.141043
-9.149331,-5.597751,34.803525
-8.794173,-4.919296,34.387588
-8.406685,-4.308368,33.903197
-7.996854,-3.769021,33.361303
-7.574070,-3.302595,32.773071
-7.146923,-2.908053,32.149263
-6.723036,-2.582428,31.499786
-6.308975,-2.321312,30.833409
